id,lon,lat,address
1,80.61289875141782,28.54540677248356,central park
2,80.60720702622314,28.542144852207205,central park
3,80.60172565402921,28.54295500321068,central park
4,80.60633448419192,28.545688465862625,central park
5,80.60515797647199,28.54956886801824,central park
6,80.61828915413184,28.541778251820652,city hall
7,80.6178433280837,28.542121058207417,city hall
8,80.61948652964774,28.54341504757212,city hall
9,80.6188060698002,28.542991950809533,city hall
10,80.61670406892345,28.543095707249453,city hall
11,80.63485505525325,28.424641476889583,default
12,80.59158361338926,28.42790960636234,default
13,80.64052606063407,28.49805252025286,default
14,80.58930988230847,28.577076747864837,default
15,80.63399636003336,28.523242262698655,default
16,80.63531616975278,28.566537254344944,energy center
17,80.63572172255715,28.559335665098608,energy center
18,80.6382358413598,28.562895013921228,energy center
19,80.63706526303173,28.56608166982919,energy center
20,80.63378842615428,28.56683073478139,energy center
21,80.61966554892022,28.51434221325639,hospital
22,80.61967096341859,28.51491764216046,hospital
23,80.61945531068636,28.514686226414202,hospital
24,80.62327511485347,28.515551804531114,hospital
25,80.62267289926855,28.51472538020962,hospital
26,80.61577854007109,28.539876617432032,police station
27,80.61570780360269,28.539844674649796,police station
28,80.61578996366099,28.541405077583164,police station
29,80.61529801318473,28.540404678335964,police station
30,80.61540148486753,28.539918541701756,police station
31,80.60784346762358,28.563201256833004,residential
32,80.60014966106803,28.565836373893905,residential
33,80.59021864337905,28.56014736401908,residential
34,80.59442972889197,28.562734113619012,residential
35,80.58945819446429,28.55633908061845,residential
36,80.64209920653236,28.526494885951102,stadium
37,80.64395643762668,28.525403025288824,stadium
38,80.64249792680125,28.517035739280754,stadium
39,80.63857171719715,28.526296053084344,stadium
40,80.64099336013452,28.526659671772407,stadium
41,80.62499379607024,28.53832452866547,taxi dispatch
42,80.62348042171413,28.537728925342417,taxi dispatch
43,80.62482346456808,28.54130344232659,taxi dispatch
44,80.6248872425635,28.538377912679888,taxi dispatch
45,80.62348858935454,28.54051227368435,taxi dispatch
